# Input: ./data/youtube_ultra_sparse.txt
# Nodes: 21492    Edges: 134712
# Algoritm: Clauset-Newman-Moore
# Modularity: 0.439420
# Communities: 73
# NId	CommunityId
1	0
18	0
4	0
2	0
376	0
11	0
22	0
13	0
14	0
15	0
3498	0
3421	0
3364	0
3430	0
3372	0
2892	0
90019	0
730	0
803	0
3496	0
840	0
3493	0
967	0
1999	0
1708	0
3402	0
3100	0
495	0
446	0
262985	0
1183	0
3447	0
1085	0
40	0
3405	0
3379	0
3479	0
3497	0
3385	0
312341	0
1070	0
1180	0
3414	0
940	0
3371	0
723	0
776	0
3361	0
3368	0
21633	0
3504	0
3428	0
3458	0
3395	0
3193	0
839	0
3406	0
797	0
3380	0
455	0
2235	0
3403	0
3482	0
107	0
1270	0
2974	0
3492	0
688	0
3173	0
3413	0
3439	0
848	0
341	0
3411	0
3472	0
363	0
3409	0
3440	0
718	0
2246	0
6718	0
514	0
3359	0
404	0
663576	0
3471	0
3478	0
3459	0
1009	0
3389	0
3480	0
3483	0
903	0
106	0
2243	0
19584	0
881	0
1227	0
3376	0
1244	0
3356	0
2059	0
247	0
3423	0
365	0
276	0
3491	0
3494	0
3451	0
480	0
620269	0
134	0
367	0
3416	0
242	0
882	0
3404	0
3370	0
3120	0
1258	0
3488	0
50112	0
3448	0
427231	0
3367	0
261504	0
3696	0
3433	0
847	0
2266	0
762	0
534	0
3400	0
3453	0
43284	0
291	0
851	0
3825	0
1072	0
648750	0
2244	0
8790	0
6576	0
1105	0
5559	0
4890	0
663779	0
663753	0
28490	0
1105821	0
1102	0
908	0
27109	0
43126	0
664053	0
913	0
644942	0
1490	0
58617	0
2849	0
115	0
18330	0
17928	0
2526	0
264751	0
850	0
21615	0
667133	0
140	0
12151	0
710	0
4213	0
5804	0
1585	0
1112725	0
12001	0
655948	0
19764	0
74945	0
89112	0
4893	0
8125	0
998	0
31627	0
3531	0
5996	0
664661	0
18452	0
4264	0
16995	0
8387	0
18377	0
494736	0
18186	0
664320	0
47	0
3524	0
413703	0
8477	0
91	0
664063	0
11989	0
4805	0
2047	0
656057	0
18655	0
9451	0
1704	0
249	0
1155	0
651102	0
655438	0
6723	0
655575	0
18214	0
15334	0
952	0
477207	0
18424	0
663737	0
845	0
9850	0
28870	0
18124	0
664153	0
8731	0
10420	0
22056	0
9868	0
23667	0
206946	0
142	0
663852	0
16823	0
4712	0
45	0
663545	0
874310	0
646961	0
1048438	0
17435	0
2986	0
36782	0
707	0
18502	0
195	0
663634	0
269	0
31536	0
6559	0
10284	0
6677	0
3646	0
651140	0
1272	0
16687	0
663607	0
660406	0
4304	0
17310	0
866	0
637969	0
727	0
946	0
8857	0
23348	0
18153	0
4226	0
8535	0
85979	0
5094	0
664031	0
7976	0
1119	0
18446	0
6816	0
663741	0
71284	0
657135	0
470	0
10113	0
664068	0
18524	0
28896	0
8395	0
117	0
50562	0
663978	0
663873	0
18675	0
1986	0
482709	0
663838	0
3812	0
656427	0
659678	0
650926	0
4460	0
587115	0
663823	0
663854	0
139881	0
84994	0
863	0
204885	0
8559	0
4927	0
655446	0
90166	0
745	0
359091	0
18995	0
532046	0
18624	0
313482	0
18308	0
7734	0
5157	0
18454	0
7142	0
2966	0
2057	0
8425	0
4760	0
4845	0
3016	0
3803	0
18111	0
811	0
6762	0
844	0
1709	0
165	0
11119	0
13493	0
15808	0
1369	0
4914	0
663637	0
7419	0
1240	0
663950	0
9256	0
4952	0
18029	0
834	0
6288	0
18532	0
63620	0
59569	0
9193	0
17128	0
521931	0
26576	0
384	0
67861	0
6138	0
18460	0
663864	0
349	0
773	0
9369	0
1705	0
15231	0
18325	0
4719	0
50600	0
448	0
18340	0
18230	0
674598	0
1053595	0
6541	0
13805	0
8498	0
7807	0
7614	0
18336	0
44522	0
2136	0
85584	0
4903	0
929	0
2963	0
6707	0
639496	0
1262	0
160066	0
658672	0
4849	0
18796	0
665815	0
2926	0
663620	0
27632	0
391	0
51893	0
297	0
121	0
18616	0
650922	0
2856	0
18175	0
18400	0
17936	0
11823	0
63	0
556	0
832	0
3198	0
4063	0
7963	0
3222	0
650911	0
3674	0
667456	0
7622	0
7257	0
533627	0
3081	0
655616	0
1283	0
655869	0
14484	0
902	0
3900	0
114	0
2901	0
220755	0
4929	0
663840	0
18390	0
17826	0
1014427	0
4966	0
18177	0
18762	0
5135	0
3836	0
47473	0
17960	0
6068	0
4457	0
3507	0
655861	0
663798	0
210	0
639586	0
2026	0
5025	0
3547	0
656431	0
644889	0
1432	0
7206	0
3775	0
676650	0
4877	0
655427	0
3515	0
68	0
8687	0
1025	0
664059	0
25084	0
664035	0
655530	0
4871	0
2248	0
793659	0
650940	0
3226	0
1032030	0
5927	0
407	0
743	0
61455	0
822	0
3172	0
664094	0
17405	0
2058	0
3558	0
15500	0
196139	0
2077	0
87327	0
699287	0
664081	0
18481	0
99731	0
7183	0
2241	0
21784	0
663857	0
868	0
78	0
17906	0
13568	0
52355	0
681863	0
5426	0
8683	0
69845	0
663853	0
511	0
18171	0
1076390	0
875	0
2100	0
14416	0
664046	0
43827	0
269349	0
11357	0
2060	0
306194	0
77	0
2821	0
18119	0
888	0
204	0
18665	0
7964	0
5205	0
1067598	0
1085826	0
100	0
664072	0
4087	0
391475	0
102806	0
656148	0
1259	0
4882	0
18593	0
31545	0
2245	0
760	0
4936	0
890	0
3307	0
7779	0
9292	0
1491	0
185095	0
2983	0
18305	0
9265	0
999	0
8481	0
663837	0
664111	0
519	0
3209	0
183	0
631	0
18478	0
164637	0
104	0
17717	0
1105740	0
4235	0
2836	0
1274	0
27948	0
9805	0
2125	0
1091	0
4801	0
4724	0
18367	0
8517	0
315908	0
664086	0
663777	0
644955	0
13662	0
4950	0
663843	0
132892	0
884	0
18519	0
2252	0
7808	0
18281	0
5906	0
663910	0
1751	0
663815	0
5011	0
806	0
1247	0
3890	0
826	0
199209	0
18498	0
213	0
8324	0
1243	0
3677	0
42258	0
18506	0
69826	0
1189	0
206142	0
9841	0
6551	0
639360	0
3278	0
279499	0
653262	0
23073	0
663742	0
663931	0
5038	0
4343	0
7081	0
664158	0
44253	0
7713	0
1268	0
669368	0
18784	0
1625	0
32182	0
1605	0
1385	0
18626	0
3010	0
661632	0
15052	0
2089	0
649500	0
2118	0
7561	0
16273	0
50224	0
119723	0
651129	0
10033	0
8659	0
667359	0
6894	0
9735	0
11547	0
18619	0
3179	0
574	0
691	0
608	0
647	0
680	0
640	0
664283	0
3521	0
3565	0
665190	0
1252	0
1992	0
3559	0
3541	0
808	0
197	0
1093	0
663562	0
3543	0
3513	0
7484	0
1042	0
1050	0
1073	0
5109	0
731	0
728	0
517	0
733	0
704422	0
1707	0
5149	0
664490	0
704	0
314	0
1233	0
72	0
17257	0
706	0
708	0
729	0
6722	0
887	0
732	0
717	0
801	0
709	0
14127	0
702	0
705	0
663619	0
27359	0
51710	0
720	0
25684	0
719	0
3113	0
663641	0
722	0
664231	0
23670	0
711	0
2086	0
26949	0
823	0
19952	0
35748	0
3155	0
3101	0
1257	0
3129	0
3161	0
9063	0
666986	0
22117	0
8792	0
3140	0
3107	0
3117	0
3157	0
3151	0
3099	0
3139	0
3121	0
3086	0
664591	0
434142	0
6655	0
4386	0
84759	0
6675	0
2880	0
4422	0
6666	0
3791	0
5825	0
4956	0
6705	0
6711	0
5424	0
663651	0
6673	0
6690	0
6703	0
5431	0
6683	0
8717	0
3907	0
60056	0
3228	0
663565	0
40338	0
73	0
60	0
388	0
22937	0
11194	0
41	0
59	0
664613	0
7110	0
17362	0
7823	0
81	0
163448	0
130	0
37	0
24461	0
1987	0
43735	0
43	0
44	0
51992	0
58	0
6899	0
7436	0
16390	0
6527	0
96	0
34	0
83	0
114444	0
651119	0
5740	0
512	0
61	0
124	0
179	0
529809	0
38	0
70	0
7708	0
52	0
135	0
927	0
663585	0
14785	0
32	0
42	0
15209	0
71369	0
90	0
35	0
94	0
88	0
15280	0
55	0
28992	0
873	0
6752	0
322	0
8504	0
7126	0
38232	0
492	0
1113	0
23103	0
28887	0
655500	0
7754	0
11845	0
9116	0
58346	0
5481	0
5501	0
5754	0
5488	0
6323	0
1481	0
794	0
5126	0
895251	0
673498	0
27269	0
38109	0
5147	0
131303	0
481	0
9110	0
205520	0
11191	0
325339	0
665749	0
802	0
14854	0
9146	0
886	0
207	0
9125	0
10278	0
7790	0
7814	0
5770	0
5495	0
17637	0
220	0
102569	0
1667	0
6008	0
225217	0
487	0
6648	0
6040	0
4926	0
5469	0
2017	0
22955	0
12000	0
6165	0
3928	0
2835	0
13738	0
22105	0
5737	0
59370	0
1039	0
8469	0
5063	0
664632	0
42960	0
4717	0
7330	0
5539	0
208	0
25388	0
17856	0
22746	0
36619	0
347	0
79384	0
1953	0
8838	0
13426	0
69392	0
18949	0
238930	0
5602	0
23783	0
6247	0
27977	0
790	0
6754	0
2845	0
664789	0
6089	0
28105	0
673300	0
12977	0
38106	0
1596	0
34779	0
156	0
26659	0
2076	0
38218	0
6197	0
1065	0
36935	0
663573	0
1948	0
230	0
9574	0
3865	0
5367	0
5551	0
442	0
5065	0
38159	0
81238	0
48479	0
1928	0
23268	0
41848	0
44271	0
1157	0
188715	0
27282	0
26987	0
7061	0
6020	0
38244	0
6280	0
1557	0
15132	0
12076	0
8336	0
4941	0
2063	0
22073	0
6000	0
386	0
12291	0
303547	0
653875	0
23435	0
173726	0
637542	0
666472	0
17059	0
14635	0
14541	0
13585	0
12270	0
12115	0
645829	0
9801	0
141	0
17191	0
320561	0
12321	0
104237	0
15214	0
245	0
23430	0
15183	0
13877	0
83813	0
16021	0
3771	0
5986	0
26613	0
15379	0
14467	0
13708	0
15197	0
3569	0
79088	0
17763	0
58584	0
131305	0
667229	0
10730	0
1575	0
72678	0
909003	0
44032	0
72717	0
12929	0
665005	0
224757	0
72723	0
59487	0
8899	0
8645	0
3169	0
7698	0
7682	0
7806	0
7680	0
170	0
6014	0
7679	0
12939	0
7676	0
200789	0
1024	0
7686	0
7695	0
665418	0
665942	0
7690	0
804	0
7683	0
6300	0
7675	0
665937	0
435	0
7701	0
1309	0
3804	0
1427	0
1381	0
305902	0
656039	0
14669	0
17025	0
13165	0
7946	0
17155	0
16408	0
16638	0
16385	0
122105	0
9027	0
1632	0
69250	0
53907	0
137816	0
5043	0
124703	0
15417	0
12241	0
1047	0
675552	0
13054	0
15550	0
43965	0
12153	0
12128	0
15553	0
14618	0
8471	0
102311	0
8678	0
16290	0
15699	0
17400	0
16411	0
13822	0
155873	0
131004	0
14067	0
9743	0
13050	0
670443	0
13007	0
15716	0
12966	0
80750	0
671040	0
642346	0
14316	0
13956	0
15206	0
172205	0
8941	0
14020	0
12830	0
14238	0
388244	0
644997	0
7728	0
12408	0
15113	0
9055	0
644214	0
665637	0
8745	0
14033	0
15501	0
11727	0
13692	0
153203	0
14414	0
7141	0
15746	0
14251	0
1353	0
23346	0
6544	0
15631	0
668576	0
14123	0
17146	0
13890	0
13245	0
14298	0
38071	0
16790	0
14824	0
12259	0
663650	0
16865	0
175	0
7082	0
13147	0
13495	0
12782	0
12258	0
13860	0
16100	0
12934	0
16116	0
16676	0
8496	0
1710	0
14738	0
670469	0
8372	0
13954	0
664544	0
15210	0
8991	0
644048	0
12135	0
14570	0
12826	0
9022	0
14350	0
7328	0
14247	0
675423	0
656376	0
13256	0
2132	0
1418	0
13594	0
13772	0
15535	0
2038	0
12882	0
12095	0
49405	0
1658	0
14184	0
16406	0
17181	0
12075	0
14114	0
7417	0
15025	0
9062	0
2879	0
14338	0
16236	0
58731	0
13718	0
15044	0
15586	0
16000	0
17092	0
12888	0
16596	0
15142	0
670514	0
14139	0
165587	0
15563	0
16188	0
66394	0
17087	0
9955	0
213589	0
10002	0
14382	0
13730	0
15335	0
8641	0
13234	0
14639	0
16578	0
219198	0
13134	0
15259	0
670380	0
14915	0
7952	0
15406	0
670193	0
5163	0
